,C0,C1,C2,C3,C4,C5,C6,C7
L0,0,0,0,0,0,0,0,0
L1,0,0,0,1,0,0,0,0
L2,0,0,0,0,1,0,0,0
L3,0,0,0,0,0,0,0,0
L4,0,0,0,0,0,1,0,0
L5,0,0,0,0,0,0,1,0
L6,0,0,0,0,0,0,0,1
L7,0,0,0,0,0,0,0,0
